WvVHø00/00/0000, 00:00:00, Master Init Complete
01/06/2013, 13:30:13, Note,5
01/06/2013, 13:30:13, Note,4
01/06/2013, 13:30:14, Note,5
01/06/2013, 13:30:14, Note,4
01/06/2013, 13:30:14, Note,2
01/06/2013, 13:30:14, Note,3
01/06/2013, 13:30:14, Note,4
01/06/2013, 13:30:14, Note,8
01/06/2013, 13:30:14, Note,7
01/06/2013, 13:30:14, Note,6
01/06/2013, 13:30:15, Note,4
01/06/2013, 13:30:15, Note,5
01/06/2013, 13:30:15, Note,6
01/06/2013, 13:30:15, Note,5
01/06/2013, 13:30:15, Note,6
01/06/2013, 13:30:16, Note,8
01/06/2013, 13:30:16, Note,7
01/06/2013, 13:30:16, Note,8
01/06/2013, 13:30:16, Note,6
01/06/2013, 13:30:16, Note,5
01/06/2013, 13:30:16, Note,4
01/06/2013, 13:30:16, Note,4
01/06/2013, 13:30:16, Note,3
01/06/2013, 13:30:17, Note,5
01/06/2013, 13:30:17, Note,2
01/06/2013, 13:30:17, Note,3
01/06/2013, 13:30:17, Note,6
01/06/2013, 13:30:17, Note,5
01/06/2013, 13:30:17, Note,4
01/06/2013, 13:30:18, Note,6
01/06/2013, 13:30:18, Note,5
01/06/2013, 13:30:18, Note,6
01/06/2013, 13:30:19, Note,6
01/06/2013, 13:30:19, Note,6
01/06/2013, 13:30:19, Note,4
01/06/2013, 13:30:20, Note,8
01/06/2013, 13:30:21, Note,7
01/06/2013, 13:30:21, Note,7
01/06/2013, 13:30:21, Note,7
01/06/2013, 13:30:22, Note,8
01/06/2013, 13:30:22, Note,7
01/06/2013, 13:30:22, Note,6
01/06/2013, 13:30:22, Note,5
01/06/2013, 13:30:22, Note,4
01/06/2013, 13:30:22, Note,5
01/06/2013, 13:30:22, Note,3
01/06/2013, 13:30:22, Note,2
01/06/2013, 13:30:22, Note,1
01/06/2013, 13:30:23, Note,1
01/06/2013, 13:30:23, Note,2
01/06/2013, 13:30:23, Note,3
01/06/2013, 13:30:23, Note,4
01/06/2013, 13:30:23, Note,5
01/06/2013, 13:30:23, Note,6
01/06/2013, 13:30:23, Note,7
01/06/2013, 13:30:23, Note,8
01/06/2013, 13:30:24, Note,8
01/06/2013, 13:30:24, Note,7
01/06/2013, 13:30:24, Note,6
01/06/2013, 13:30:24, Note,4
01/06/2013, 13:30:24, Note,5
01/06/2013, 13:30:24, Note,3
01/06/2013, 13:30:24, Note,2
01/06/2013, 13:30:24, Note,1
01/06/2013, 13:30:24, Note,1
01/06/2013, 13:30:24, Note,2
01/06/2013, 13:30:24, Note,3
01/06/2013, 13:30:24, Note,4
01/06/2013, 13:30:25, Note,6
01/06/2013, 13:30:25, Note,7
01/06/2013, 13:30:25, Note,8
01/06/2013, 13:30:25, Note,8
01/06/2013, 13:30:25, Note,7
01/06/2013, 13:30:25, Note,6
01/06/2013, 13:30:25, Note,4
01/06/2013, 13:30:25, Note,3
01/06/2013, 13:30:25, Note,2
01/06/2013, 13:30:26, Note,2
01/06/2013, 13:30:26, Note,3
01/06/2013, 13:30:26, Note,4
01/06/2013, 13:30:26, Note,6
01/06/2013, 13:30:26, Note,5
01/06/2013, 13:30:26, Note,4
01/06/2013, 13:30:27, Note,4
01/06/2013, 13:30:28, Note,3
01/06/2013, 13:30:28, Note,3
01/06/2013, 13:30:28, Note,3
01/06/2013, 13:30:28, Note,4
01/06/2013, 13:30:29, Note,3
01/06/2013, 13:30:29, Note,4
01/06/2013, 13:30:29, Note,3
01/06/2013, 13:30:29, Note,4
01/06/2013, 13:30:29, Note,3
01/06/2013, 13:30:30, Note,4
01/06/2013, 13:30:30, Note,3
01/06/2013, 13:30:30, Note,4
01/06/2013, 13:30:30, Note,5
01/06/2013, 13:30:30, Note,6
01/06/2013, 13:30:30, Note,7
01/06/2013, 13:30:30, Note,8
01/06/2013, 13:30:31, Note,8
01/06/2013, 13:30:31, Note,7
01/06/2013, 13:30:31, Note,6
01/06/2013, 13:30:31, Note,5
01/06/2013, 13:30:31, Note,4
01/06/2013, 13:30:31, Note,3
01/06/2013, 13:30:31, Note,2
01/06/2013, 13:30:32, Note,1
01/06/2013, 13:30:32, Note,2
01/06/2013, 13:30:32, Note,3
01/06/2013, 13:30:32, Note,4
01/06/2013, 13:30:32, Note,5
01/06/2013, 13:30:32, Note,6
01/06/2013, 13:30:32, Note,7
01/06/2013, 13:30:34, Switching to instrument 4
01/06/2013, 13:30:34, Note,1
01/06/2013, 13:30:34, Note,1
01/06/2013, 13:30:34, Note,2
01/06/2013, 13:30:34, Note,1
01/06/2013, 13:30:35, Note,2
01/06/2013, 13:30:35, Note,1
01/06/2013, 13:30:35, Note,2
01/06/2013, 13:30:36, Switching to noises
01/06/2013, 13:30:37, Switching to instrument 0
01/06/2013, 13:30:38, Switching to instrument 1
01/06/2013, 13:30:39, Switching to instrument 2
01/06/2013, 13:30:40, Switching to instrument 3
01/06/2013, 13:30:41, Switching to instrument 4
01/06/2013, 13:30:42, Note,1
01/06/2013, 13:30:42, Note,2
01/06/2013, 13:30:42, Note,3
01/06/2013, 13:30:42, Note,5
01/06/2013, 13:30:42, Note,1
01/06/2013, 13:30:42, Note,1
01/06/2013, 13:30:42, Note,2
01/06/2013, 13:30:42, Note,3
01/06/2013, 13:30:42, Note,4
01/06/2013, 13:30:43, Note,2
01/06/2013, 13:30:43, Note,3
01/06/2013, 13:30:43, Note,4
01/06/2013, 13:30:44, Switching to noises
01/06/2013, 13:30:45, Switching to instrument 0
01/06/2013, 13:30:45, Switching to instrument 1
01/06/2013, 13:30:46, Switching to instrument 2
01/06/2013, 13:30:46, Switching to instrument 3
01/06/2013, 13:30:47, Note,2
01/06/2013, 13:30:47, Note,3
01/06/2013, 13:30:47, Note,4
01/06/2013, 13:30:58, Screen Saver
01/06/2013, 13:31:09, Screen Saver
01/06/2013, 13:31:20, Screen Saver
01/06/2013, 13:31:28, Switching to instrument 4
01/06/2013, 13:31:29, Note,1
01/06/2013, 13:31:30, Note,1
01/06/2013, 13:31:30, Note,2
01/06/2013, 13:31:32, Note,3
01/06/2013, 13:31:32, Note,3
01/06/2013, 13:31:32, Note,5
01/06/2013, 13:31:33, Note,4
01/06/2013, 13:31:33, Note,5
01/06/2013, 13:31:34, Note,6
01/06/2013, 13:31:35, Note,7
01/06/2013, 13:31:36, Note,7
01/06/2013, 13:31:36, Note,6
01/06/2013, 13:31:36, Note,5
01/06/2013, 13:31:37, Note,4
01/06/2013, 13:31:37, Note,3
01/06/2013, 13:31:37, Note,2
01/06/2013, 13:31:38, Note,1
01/06/2013, 13:31:38, Note,1
01/06/2013, 13:31:38, Note,2
01/06/2013, 13:31:38, Note,4
01/06/2013, 13:31:39, Note,5
01/06/2013, 13:31:39, Note,6
01/06/2013, 13:31:39, Note,8
01/06/2013, 13:31:39, Note,7
01/06/2013, 13:31:40, Switching to noises
01/06/2013, 13:31:40, Note,6
01/06/2013, 13:31:40, Note,5
01/06/2013, 13:31:40, Note,4
01/06/2013, 13:31:40, Note,3
01/06/2013, 13:31:40, Note,3
01/06/2013, 13:31:40, Note,4
01/06/2013, 13:31:40, Note,5
01/06/2013, 13:31:41, Note,6
01/06/2013, 13:31:42, Note,6
01/06/2013, 13:31:42, Note,1
01/06/2013, 13:31:42, Note,5
01/06/2013, 13:31:42, Note,2
01/06/2013, 13:31:43, Note,2
01/06/2013, 13:31:43, Note,3
01/06/2013, 13:31:43, Note,2
01/06/2013, 13:31:43, Note,1
01/06/2013, 13:31:53, Screen Saver
01/06/2013, 13:31:58, Note,5
01/06/2013, 13:32:08, Screen Saver
01/06/2013, 13:32:19, Screen Saver
01/06/2013, 13:32:31, Screen Saver
01/06/2013, 13:32:42, Screen Saver
01/06/2013, 13:32:53, Screen Saver
01/06/2013, 13:33:04, Screen Saver
01/06/2013, 13:33:15, Screen Saver
01/06/2013, 13:33:26, Screen Saver
01/06/2013, 13:33:37, Screen Saver
01/06/2013, 13:33:48, Screen Saver
01/06/2013, 13:33:59, Screen Saver
01/06/2013, 13:34:10, Screen Saver
01/06/2013, 13:34:21, Screen Saver
01/06/2013, 13:34:32, Screen Saver
01/06/2013, 13:34:43, Screen Saver
01/06/2013, 13:34:54, Screen Saver
01/06/2013, 13:35:05, Screen Saver
01/06/2013, 13:35:16, Screen Saver
01/06/2013, 13:35:27, Screen Saver
01/06/2013, 13:35:38, Screen Saver
01/06/2013, 13:35:49, Screen Saver
01/06/2013, 13:36:00, Screen Saver
01/06/2013, 13:36:05, Note,1
01/06/2013, 13:36:06, Note,1
01/06/2013, 13:36:06, Note,2
01/06/2013, 13:36:07, Note,2
01/06/2013, 13:36:07, Note,3
01/06/2013, 13:36:08, Note,4
01/06/2013, 13:36:09, Note,5
01/06/2013, 13:36:10, Note,5
01/06/2013, 13:36:10, Note,5
01/06/2013, 13:36:10, Note,5
01/06/2013, 13:36:10, Note,5
01/06/2013, 13:36:10, Note,5
01/06/2013, 13:36:10, Note,5
01/06/2013, 13:36:11, Note,6
01/06/2013, 13:36:12, Note,6
01/06/2013, 13:36:12, Note,6
01/06/2013, 13:36:12, Note,7
01/06/2013, 13:36:12, Note,5
01/06/2013, 13:36:12, Note,5
01/06/2013, 13:36:12, Note,5
01/06/2013, 13:36:12, Note,5
01/06/2013, 13:36:12, Note,5
01/06/2013, 13:36:12, Note,5
01/06/2013, 13:36:13, Note,5
01/06/2013, 13:36:13, Note,5
01/06/2013, 13:36:13, Note,5
01/06/2013, 13:36:13, Note,7
01/06/2013, 13:36:13, Note,7
01/06/2013, 13:36:14, Note,7
01/06/2013, 13:36:17, Note,6
01/06/2013, 13:36:18, Note,8
01/06/2013, 13:36:20, Note,8
01/06/2013, 13:36:21, Note,8
01/06/2013, 13:36:22, Note,8
01/06/2013, 13:36:22, Note,8
01/06/2013, 13:36:22, Note,8
01/06/2013, 13:36:22, Note,8
01/06/2013, 13:36:23, Note,8
01/06/2013, 13:36:23, Note,8
01/06/2013, 13:36:23, Note,7
01/06/2013, 13:36:24, Note,6
01/06/2013, 13:36:24, Note,5
01/06/2013, 13:36:24, Note,6
01/06/2013, 13:36:24, Note,6
01/06/2013, 13:36:24, Note,4
01/06/2013, 13:36:25, Note,3
01/06/2013, 13:36:25, Note,2
01/06/2013, 13:36:26, Note,3
01/06/2013, 13:36:26, Note,2
01/06/2013, 13:36:26, Note,4
01/06/2013, 13:36:26, Note,4
01/06/2013, 13:36:27, Note,5
01/06/2013, 13:36:27, Note,5
01/06/2013, 13:36:27, Note,6
01/06/2013, 13:36:27, Note,7
01/06/2013, 13:36:28, Note,6
01/06/2013, 13:36:31, Note,3
01/06/2013, 13:36:31, Note,2
01/06/2013, 13:36:31, Note,2
01/06/2013, 13:36:32, Note,4
01/06/2013, 13:36:32, Note,2
01/06/2013, 13:36:32, Note,5
01/06/2013, 13:36:32, Note,6
01/06/2013, 13:36:32, Note,7
01/06/2013, 13:36:32, Note,8
01/06/2013, 13:36:33, Note,7
01/06/2013, 13:36:33, Note,4
01/06/2013, 13:36:33, Note,3
01/06/2013, 13:36:33, Note,4
01/06/2013, 13:36:33, Note,2
01/06/2013, 13:36:35, Note,7
01/06/2013, 13:36:35, Note,8
01/06/2013, 13:36:35, Note,5
01/06/2013, 13:36:35, Note,7
01/06/2013, 13:36:35, Note,5
01/06/2013, 13:36:35, Note,6
01/06/2013, 13:36:35, Note,5
01/06/2013, 13:36:35, Note,5
01/06/2013, 13:36:35, Note,5
01/06/2013, 13:36:36, Note,5
01/06/2013, 13:36:36, Note,6
01/06/2013, 13:36:37, Note,5
01/06/2013, 13:36:37, Note,5
01/06/2013, 13:36:38, Note,2
01/06/2013, 13:36:38, Note,3
01/06/2013, 13:36:38, Note,1
01/06/2013, 13:36:38, Note,2
01/06/2013, 13:36:38, Note,1
01/06/2013, 13:36:38, Note,3
01/06/2013, 13:36:38, Note,3
01/06/2013, 13:36:39, Note,4
01/06/2013, 13:36:39, Note,5
01/06/2013, 13:36:39, Note,2
01/06/2013, 13:36:39, Note,6
01/06/2013, 13:36:39, Note,7
01/06/2013, 13:36:39, Note,6
01/06/2013, 13:36:39, Note,8
01/06/2013, 13:36:40, Note,4
01/06/2013, 13:36:41, Note,3
01/06/2013, 13:36:41, Note,3
01/06/2013, 13:36:42, Note,3
01/06/2013, 13:36:42, Note,4
01/06/2013, 13:36:42, Note,4
01/06/2013, 13:36:42, Note,4
01/06/2013, 13:36:42, Note,4
01/06/2013, 13:36:42, Note,5
01/06/2013, 13:36:43, Note,6
01/06/2013, 13:36:44, Note,7
01/06/2013, 13:36:44, Note,1
01/06/2013, 13:36:44, Note,8
01/06/2013, 13:36:44, Note,6
01/06/2013, 13:36:44, Note,2
01/06/2013, 13:36:45, Note,8
01/06/2013, 13:36:45, Note,6
01/06/2013, 13:36:45, Note,5
01/06/2013, 13:36:45, Note,5
01/06/2013, 13:36:45, Note,4
01/06/2013, 13:36:45, Note,5
01/06/2013, 13:36:45, Note,2
01/06/2013, 13:36:47, Switching to instrument 0
01/06/2013, 13:36:48, Switching to instrument 1
01/06/2013, 13:36:49, Switching to instrument 2
01/06/2013, 13:36:50, Note,1
01/06/2013, 13:36:51, Note,2
01/06/2013, 13:37:01, Screen Saver
01/06/2013, 13:37:12, Screen Saver
01/06/2013, 13:37:18, Note,8
01/06/2013, 13:37:18, Note,7
01/06/2013, 13:37:19, Note,6
01/06/2013, 13:37:29, Screen Saver
01/06/2013, 13:37:40, Screen Saver
01/06/2013, 13:37:51, Screen Saver
01/06/2013, 13:37:55, Note,8
01/06/2013, 13:37:56, Note,7
01/06/2013, 13:37:56, Note,6
01/06/2013, 13:37:56, Note,5
01/06/2013, 13:37:56, Note,5
01/06/2013, 13:37:56, Note,5
01/06/2013, 13:37:57, Note,4
01/06/2013, 13:37:57, Note,2
01/06/2013, 13:37:57, Note,1
01/06/2013, 13:37:58, Note,2
01/06/2013, 13:37:58, Note,3
01/06/2013, 13:37:58, Note,4
01/06/2013, 13:37:58, Note,4
01/06/2013, 13:37:58, Note,5
01/06/2013, 13:37:59, Note,5
01/06/2013, 13:38:00, Switching to instrument 3
01/06/2013, 13:38:00, Note,8
01/06/2013, 13:38:00, Note,6
01/06/2013, 13:38:01, Note,6
01/06/2013, 13:38:01, Note,5
01/06/2013, 13:38:01, Note,5
01/06/2013, 13:38:02, Note,4
01/06/2013, 13:38:02, Note,5
01/06/2013, 13:38:03, Note,2
01/06/2013, 13:38:03, Note,1
01/06/2013, 13:38:04, Switching to instrument 4
01/06/2013, 13:38:07, Switching to noises
01/06/2013, 13:38:07, Note,8
01/06/2013, 13:38:08, Note,7
01/06/2013, 13:38:08, Note,7
01/06/2013, 13:38:08, Note,8
01/06/2013, 13:38:08, Note,7
01/06/2013, 13:38:09, Note,6
01/06/2013, 13:38:09, Note,5
01/06/2013, 13:38:09, Note,5
01/06/2013, 13:38:09, Note,5
01/06/2013, 13:38:09, Note,6
01/06/2013, 13:38:09, Note,7
01/06/2013, 13:38:09, Switching to instrument 0
01/06/2013, 13:38:09, Note,5
01/06/2013, 13:38:09, Note,8
01/06/2013, 13:38:09, Note,6
01/06/2013, 13:38:09, Note,7
01/06/2013, 13:38:10, Note,6
01/06/2013, 13:38:10, Note,7
01/06/2013, 13:38:10, Note,8
01/06/2013, 13:38:10, Note,7
01/06/2013, 13:38:10, Note,8
01/06/2013, 13:38:10, Note,8
01/06/2013, 13:38:11, Note,7
01/06/2013, 13:38:11, Note,6
01/06/2013, 13:38:11, Switching to instrument 1
01/06/2013, 13:38:11, Note,5
01/06/2013, 13:38:11, Note,7
01/06/2013, 13:38:11, Note,4
01/06/2013, 13:38:11, Note,6
01/06/2013, 13:38:11, Switching to instrument 2
01/06/2013, 13:38:11, Note,6
01/06/2013, 13:38:11, Note,4
01/06/2013, 13:38:11, Note,7
01/06/2013, 13:38:11, Note,5
01/06/2013, 13:38:11, Note,8
01/06/2013, 13:38:13, Note,7
01/06/2013, 13:38:13, Switching to instrument 3
01/06/2013, 13:38:13, Note,8
01/06/2013, 13:38:13, Note,8
01/06/2013, 13:38:13, Note,8
01/06/2013, 13:38:13, Note,5
01/06/2013, 13:38:14, Switching to instrument 4
01/06/2013, 13:38:14, Note,7
01/06/2013, 13:38:14, Note,8
01/06/2013, 13:38:14, Note,5
01/06/2013, 13:38:14, Note,5
01/06/2013, 13:38:14, Switching to noises
01/06/2013, 13:38:14, Note,4
01/06/2013, 13:38:14, Note,8
01/06/2013, 13:38:14, Note,7
01/06/2013, 13:38:15, Switching to instrument 0
01/06/2013, 13:38:15, Note,6
01/06/2013, 13:38:15, Note,4
01/06/2013, 13:38:15, Note,7
01/06/2013, 13:38:15, Note,8
01/06/2013, 13:38:15, Switching to instrument 1
01/06/2013, 13:38:15, Note,4
01/06/2013, 13:38:15, Switching to instrument 2
01/06/2013, 13:38:15, Note,5
01/06/2013, 13:38:15, Note,8
01/06/2013, 13:38:17, Note,7
01/06/2013, 13:38:17, Note,5
01/06/2013, 13:38:18, Note,4
01/06/2013, 13:38:18, Note,3
01/06/2013, 13:38:18, Note,2
01/06/2013, 13:38:19, Note,3
01/06/2013, 13:38:19, Note,4
01/06/2013, 13:38:20, Switching to instrument 3
01/06/2013, 13:38:20, Note,4
01/06/2013, 13:38:20, Note,5
01/06/2013, 13:38:20, Note,7
01/06/2013, 13:38:20, Note,6
01/06/2013, 13:38:20, Note,8
01/06/2013, 13:38:21, Note,8
01/06/2013, 13:38:21, Switching to instrument 4
01/06/2013, 13:38:21, Note,7
01/06/2013, 13:38:21, Note,6
01/06/2013, 13:38:22, Note,5
01/06/2013, 13:38:22, Note,4
01/06/2013, 13:38:22, Note,2
01/06/2013, 13:38:23, Note,3
01/06/2013, 13:38:23, Note,4
01/06/2013, 13:38:23, Note,5
01/06/2013, 13:38:23, Note,6
01/06/2013, 13:38:24, Note,8
01/06/2013, 13:38:24, Note,7
01/06/2013, 13:38:25, Note,6
01/06/2013, 13:38:25, Note,5
01/06/2013, 13:38:25, Note,4
01/06/2013, 13:38:25, Note,8
01/06/2013, 13:38:25, Note,2
01/06/2013, 13:38:25, Note,7
01/06/2013, 13:38:26, Note,2
01/06/2013, 13:38:26, Note,5
01/06/2013, 13:38:26, Note,3
01/06/2013, 13:38:26, Note,3
01/06/2013, 13:38:26, Note,4
01/06/2013, 13:38:27, Note,3
01/06/2013, 13:38:27, Note,2
01/06/2013, 13:38:27, Note,2
01/06/2013, 13:38:27, Note,3
01/06/2013, 13:38:28, Note,2
01/06/2013, 13:38:28, Note,1
01/06/2013, 13:38:28, Switching to noises
01/06/2013, 13:38:29, Note,3
01/06/2013, 13:38:29, Note,3
01/06/2013, 13:38:30, Note,4
01/06/2013, 13:38:30, Note,5
01/06/2013, 13:38:31, Note,6
01/06/2013, 13:38:31, Note,7
01/06/2013, 13:38:31, Note,8
01/06/2013, 13:38:33, Note,8
01/06/2013, 13:38:33, Note,8
01/06/2013, 13:38:33, Note,8
01/06/2013, 13:38:33, Note,8
01/06/2013, 13:38:33, Note,8
01/06/2013, 13:38:33, Note,8
01/06/2013, 13:38:33, Note,8
01/06/2013, 13:38:35, Note,6
01/06/2013, 13:38:35, Note,5
01/06/2013, 13:38:35, Note,4
01/06/2013, 13:38:35, Note,3
01/06/2013, 13:38:35, Note,2
01/06/2013, 13:38:36, Note,1
01/06/2013, 13:38:38, Note,8
01/06/2013, 13:38:38, Note,7
01/06/2013, 13:38:38, Note,7
01/06/2013, 13:38:39, Note,6
01/06/2013, 13:38:39, Note,6
01/06/2013, 13:38:39, Note,5
01/06/2013, 13:38:40, Note,4
01/06/2013, 13:38:41, Note,3
01/06/2013, 13:38:41, Note,2
01/06/2013, 13:38:41, Note,1
01/06/2013, 13:38:42, Note,1
01/06/2013, 13:38:42, Note,2
01/06/2013, 13:38:42, Note,2
01/06/2013, 13:38:42, Switching to instrument 0
01/06/2013, 13:38:43, Switching to instrument 1
01/06/2013, 13:38:43, Switching to instrument 2
01/06/2013, 13:38:43, Switching to instrument 3
01/06/2013, 13:38:45, Note,8
01/06/2013, 13:38:45, Note,7
01/06/2013, 13:38:46, Note,6
01/06/2013, 13:38:46, Switching to instrument 4
01/06/2013, 13:38:46, Note,5
01/06/2013, 13:38:46, Note,4
01/06/2013, 13:38:46, Note,2
01/06/2013, 13:38:47, Note,1
01/06/2013, 13:38:48, Switching to noises
01/06/2013, 13:38:49, Note,1
01/06/2013, 13:38:50, Note,7
01/06/2013, 13:38:50, Note,1
01/06/2013, 13:38:51, Note,6
01/06/2013, 13:38:51, Note,5
01/06/2013, 13:38:51, Note,5
01/06/2013, 13:38:52, Note,4
01/06/2013, 13:38:52, Note,3
01/06/2013, 13:38:52, Note,2
01/06/2013, 13:38:53, Note,1
01/06/2013, 13:38:53, Note,1
01/06/2013, 13:38:54, Note,2
01/06/2013, 13:38:54, Note,3
01/06/2013, 13:38:54, Note,4
01/06/2013, 13:38:54, Note,5
01/06/2013, 13:38:54, Note,5
01/06/2013, 13:38:55, Note,6
01/06/2013, 13:38:55, Note,8
01/06/2013, 13:38:55, Note,5
01/06/2013, 13:38:56, Note,8
01/06/2013, 13:38:56, Note,7
01/06/2013, 13:38:57, Note,6
01/06/2013, 13:38:57, Note,5
01/06/2013, 13:38:57, Note,5
01/06/2013, 13:38:57, Note,4
01/06/2013, 13:38:57, Note,3
01/06/2013, 13:39:08, Screen Saver
01/06/2013, 13:39:19, Screen Saver
01/06/2013, 13:39:30, Screen Saver
01/06/2013, 13:39:41, Screen Saver
01/06/2013, 13:39:52, Screen Saver
01/06/2013, 13:40:03, Screen Saver
01/06/2013, 13:40:14, Screen Saver
01/06/2013, 13:40:25, Screen Saver
01/06/2013, 13:40:36, Screen Saver
01/06/2013, 13:40:47, Screen Saver
01/06/2013, 13:40:58, Screen Saver
01/06/2013, 13:41:09, Screen Saver
01/06/2013, 13:41:20, Screen Saver
01/06/2013, 13:41:31, Screen Saver
01/06/2013, 13:41:42, Screen Saver
01/06/2013, 13:41:53, Screen Saver
01/06/2013, 13:42:04, Screen Saver
01/06/2013, 13:42:15, Screen Saver
01/06/2013, 13:42:21, Note,1
01/06/2013, 13:42:21, Note,2
01/06/2013, 13:42:22, Note,2
01/06/2013, 13:42:25, Note,3
01/06/2013, 13:42:26, Note,4
01/06/2013, 13:42:26, Note,5
01/06/2013, 13:42:27, Note,6
01/06/2013, 13:42:27, Note,5
01/06/2013, 13:42:27, Note,5
01/06/2013, 13:42:27, Note,5
01/06/2013, 13:42:27, Note,7
01/06/2013, 13:42:27, Note,5
01/06/2013, 13:42:27, Note,8
01/06/2013, 13:42:28, Note,7
01/06/2013, 13:42:29, Note,7
01/06/2013, 13:42:29, Note,7
01/06/2013, 13:42:31, Note,1
01/06/2013, 13:42:31, Note,2
01/06/2013, 13:42:32, Note,2
01/06/2013, 13:42:32, Note,3
01/06/2013, 13:42:33, Note,4
01/06/2013, 13:42:33, Note,3
01/06/2013, 13:42:33, Note,5
01/06/2013, 13:42:33, Note,5
01/06/2013, 13:42:33, Note,4
01/06/2013, 13:42:33, Note,5
01/06/2013, 13:42:33, Note,3
01/06/2013, 13:42:33, Note,4
01/06/2013, 13:42:34, Note,2
01/06/2013, 13:42:34, Note,3
01/06/2013, 13:42:34, Note,5
01/06/2013, 13:42:34, Note,3
01/06/2013, 13:42:34, Note,4
01/06/2013, 13:42:35, Note,5
01/06/2013, 13:42:35, Note,3
01/06/2013, 13:42:35, Note,3
01/06/2013, 13:42:35, Note,5
01/06/2013, 13:42:36, Note,5
01/06/2013, 13:42:36, Note,3
01/06/2013, 13:42:36, Note,3
01/06/2013, 13:42:36, Note,5
01/06/2013, 13:42:36, Note,4
01/06/2013, 13:42:36, Note,6
01/06/2013, 13:42:36, Note,3
01/06/2013, 13:42:37, Note,4
01/06/2013, 13:42:37, Note,3
01/06/2013, 13:42:37, Note,3
01/06/2013, 13:42:37, Note,4
01/06/2013, 13:42:37, Note,4
01/06/2013, 13:42:37, Note,5
01/06/2013, 13:42:38, Note,5
01/06/2013, 13:42:38, Note,4
01/06/2013, 13:42:39, Note,5
01/06/2013, 13:42:39, Note,4
01/06/2013, 13:42:39, Note,5
01/06/2013, 13:42:40, Note,5
01/06/2013, 13:42:40, Note,5
01/06/2013, 13:42:40, Note,5
01/06/2013, 13:42:40, Note,2
01/06/2013, 13:42:40, Note,5
01/06/2013, 13:42:41, Note,3
01/06/2013, 13:42:41, Note,5
01/06/2013, 13:42:41, Note,4
01/06/2013, 13:42:42, Note,4
01/06/2013, 13:42:42, Note,2
01/06/2013, 13:42:42, Note,2
01/06/2013, 13:42:42, Note,3
01/06/2013, 13:42:43, Note,3
01/06/2013, 13:42:43, Note,5
01/06/2013, 13:42:43, Note,3
01/06/2013, 13:42:44, Note,3
01/06/2013, 13:42:44, Note,4
01/06/2013, 13:42:44, Note,5
01/06/2013, 13:42:44, Note,4
01/06/2013, 13:42:44, Note,4
01/06/2013, 13:42:44, Note,1
01/06/2013, 13:42:44, Note,4
01/06/2013, 13:42:44, Note,1
01/06/2013, 13:42:45, Note,2
01/06/2013, 13:42:45, Note,3
01/06/2013, 13:42:45, Note,4
01/06/2013, 13:42:45, Note,3
01/06/2013, 13:42:45, Note,4
01/06/2013, 13:42:56, Screen Saver
01/06/2013, 13:43:07, Screen Saver
01/06/2013, 13:43:18, Screen Saver
01/06/2013, 13:43:29, Screen Saver
01/06/2013, 13:43:40, Screen Saver
01/06/2013, 13:43:51, Screen Saver
01/06/2013, 13:44:02, Screen Saver
01/06/2013, 13:44:13, Screen Saver
01/06/2013, 13:44:21, Note,8
01/06/2013, 13:44:29, Note,6
01/06/2013, 13:44:29, Note,6
01/06/2013, 13:44:29, Note,6
01/06/2013, 13:44:31, Note,4
01/06/2013, 13:44:32, Note,4
01/06/2013, 13:44:32, Note,4
01/06/2013, 13:44:33, Note,4
01/06/2013, 13:44:34, Note,5
01/06/2013, 13:44:35, Note,8
01/06/2013, 13:44:36, Note,8
01/06/2013, 13:44:36, Note,8
01/06/2013, 13:44:36, Note,7
01/06/2013, 13:44:37, Note,6
01/06/2013, 13:44:37, Note,5
01/06/2013, 13:44:37, Note,5
01/06/2013, 13:44:37, Note,5
01/06/2013, 13:44:37, Note,6
01/06/2013, 13:44:38, Note,5
01/06/2013, 13:44:39, Note,5
01/06/2013, 13:44:39, Note,5
01/06/2013, 13:44:39, Note,5
01/06/2013, 13:44:39, Note,6
01/06/2013, 13:44:39, Note,5
01/06/2013, 13:44:50, Screen Saver
01/06/2013, 13:45:01, Screen Saver
01/06/2013, 13:45:04, Note,6
01/06/2013, 13:45:05, Note,6
01/06/2013, 13:45:06, Note,5
01/06/2013, 13:45:06, Note,5
01/06/2013, 13:45:06, Note,5
01/06/2013, 13:45:07, Note,6
01/06/2013, 13:45:07, Note,4
01/06/2013, 13:45:07, Note,2
01/06/2013, 13:45:07, Note,1
01/06/2013, 13:45:07, Note,2
01/06/2013, 13:45:08, Note,2
01/06/2013, 13:45:08, Note,3
01/06/2013, 13:45:09, Note,4
01/06/2013, 13:45:09, Note,7
01/06/2013, 13:45:09, Note,7
01/06/2013, 13:45:09, Note,6
01/06/2013, 13:45:09, Note,5
01/06/2013, 13:45:09, Note,5
01/06/2013, 13:45:09, Note,4
01/06/2013, 13:45:10, Note,6
01/06/2013, 13:45:10, Note,5
01/06/2013, 13:45:10, Note,7
01/06/2013, 13:45:10, Note,7
01/06/2013, 13:45:10, Note,6
01/06/2013, 13:45:10, Note,5
01/06/2013, 13:45:10, Note,3
01/06/2013, 13:45:10, Note,2
01/06/2013, 13:45:10, Note,1
01/06/2013, 13:45:11, Note,3
01/06/2013, 13:45:11, Note,3
01/06/2013, 13:45:11, Note,4
01/06/2013, 13:45:13, Note,2
01/06/2013, 13:45:13, Note,3
