³Úgured
00/00/0000, 00:00:00, Master Init Complete
10/12/2012, 16:57:37, Note,8
10/12/2012, 16:57:38, Note,8
10/12/2012, 16:57:38, Note,8
10/12/2012, 16:57:40, Note,7
10/12/2012, 16:57:41, Note,7
10/12/2012, 16:57:41, Note,6
10/12/2012, 16:57:42, Note,6
10/12/2012, 16:57:42, Note,8
10/12/2012, 16:57:42, Note,6
10/12/2012, 16:57:43, Note,8
10/12/2012, 16:57:44, Note,8
10/12/2012, 16:57:44, Note,5
10/12/2012, 16:57:44, Note,4
10/12/2012, 16:57:45, Note,5
10/12/2012, 16:57:45, Note,8
10/12/2012, 16:57:45, Note,7
10/12/2012, 16:57:45, Note,6
10/12/2012, 16:57:45, Note,7
10/12/2012, 16:57:46, Note,8
10/12/2012, 16:57:46, Note,8
10/12/2012, 16:57:46, Note,6
10/12/2012, 16:57:46, Note,6
10/12/2012, 16:57:46, Note,7
10/12/2012, 16:57:47, Note,8
10/12/2012, 16:57:47, Note,6
10/12/2012, 16:57:47, Note,7
10/12/2012, 16:57:48, Note,8
10/12/2012, 16:57:48, Note,7
10/12/2012, 16:57:49, Note,8
10/12/2012, 16:57:49, Note,6
10/12/2012, 16:57:49, Note,7
10/12/2012, 16:57:49, Note,8
10/12/2012, 16:57:50, Note,6
10/12/2012, 16:57:50, Note,4
10/12/2012, 16:57:50, Note,4
10/12/2012, 16:57:50, Note,6
10/12/2012, 16:57:52, Note,1
10/12/2012, 16:57:54, Note,1
10/12/2012, 16:57:55, Note,1
10/12/2012, 16:57:55, Note,4
10/12/2012, 16:57:55, Note,6
10/12/2012, 16:57:56, Note,6
10/12/2012, 17:51:59, Note,1
10/12/2012, 17:52:00, Note,2
10/12/2012, 17:52:01, Note,3
10/12/2012, 17:52:01, Note,2
10/12/2012, 17:52:01, Note,1
10/12/2012, 17:52:02, Note,1
10/12/2012, 17:52:03, Note,8
10/12/2012, 17:52:03, Note,1
10/12/2012, 17:52:03, Note,8
10/12/2012, 17:52:04, Note,1
10/12/2012, 17:52:04, Note,2
10/12/2012, 17:52:04, Note,5
10/12/2012, 17:52:04, Note,3
10/12/2012, 17:52:04, Note,5
10/12/2012, 17:52:04, Note,8
10/12/2012, 17:52:04, Note,4
10/12/2012, 17:52:04, Note,6
10/12/2012, 17:52:04, Note,5
10/12/2012, 17:52:04, Note,3
10/12/2012, 17:52:04, Note,4
10/12/2012, 17:52:05, Note,5
10/12/2012, 17:52:05, Note,2
10/12/2012, 17:52:05, Note,3
10/12/2012, 17:52:05, Note,8
10/12/2012, 17:52:05, Note,4
10/12/2012, 17:52:05, Note,4
10/12/2012, 17:52:05, Note,5
10/12/2012, 17:52:05, Note,5
10/12/2012, 17:52:05, Note,3
10/12/2012, 17:52:05, Note,2
10/12/2012, 17:52:05, Note,4
10/12/2012, 17:52:06, Note,4
10/12/2012, 17:52:06, Note,4
10/12/2012, 17:52:06, Note,3
10/12/2012, 17:52:08, Note,6
10/12/2012, 17:52:09, Note,6
10/12/2012, 17:52:09, Note,5
10/12/2012, 17:52:09, Note,5
10/12/2012, 17:52:10, Note,7
10/12/2012, 17:52:10, Note,7
10/12/2012, 17:52:11, Note,8
10/12/2012, 17:52:11, Note,4
10/12/2012, 17:52:11, Note,4
10/12/2012, 17:52:12, Note,4
10/12/2012, 17:52:12, Note,4
10/12/2012, 17:52:13, Note,7
10/12/2012, 17:52:13, Note,8
10/12/2012, 17:52:13, Note,8
10/12/2012, 17:52:13, Note,5
10/12/2012, 17:52:13, Note,5
10/12/2012, 17:52:13, Note,5
10/12/2012, 17:52:14, Note,8
10/12/2012, 17:52:14, Note,8
10/12/2012, 17:52:14, Note,3
10/12/2012, 17:52:14, Note,3
10/12/2012, 17:52:14, Note,8
10/12/2012, 17:52:14, Note,3
10/12/2012, 17:52:14, Note,7
10/12/2012, 17:52:14, Note,3
10/12/2012, 17:52:14, Note,8
10/12/2012, 17:52:15, Note,2
10/12/2012, 17:52:15, Note,7
10/12/2012, 17:52:15, Note,8
10/12/2012, 17:52:15, Note,6
10/12/2012, 17:52:15, Note,8
10/12/2012, 17:52:15, Note,1
10/12/2012, 17:52:15, Note,7
10/12/2012, 17:52:15, Note,5
10/12/2012, 17:52:16, Note,3
10/12/2012, 17:52:16, Note,5
10/12/2012, 17:52:16, Note,6
10/12/2012, 17:52:16, Note,3
10/12/2012, 17:52:16, Note,5
10/12/2012, 17:52:16, Note,6
10/12/2012, 17:52:16, Note,6
10/12/2012, 17:52:17, Note,1
10/12/2012, 17:52:17, Note,6
10/12/2012, 17:52:17, Note,7
10/12/2012, 17:52:17, Note,7
10/12/2012, 17:52:17, Note,8
10/12/2012, 17:52:18, Note,8
10/12/2012, 17:52:18, Switching to instrument 0
10/12/2012, 17:52:18, Note,6
10/12/2012, 17:52:19, Switching to instrument 1
10/12/2012, 17:52:19, Note,5
10/12/2012, 17:52:20, Note,5
10/12/2012, 17:52:20, Note,5
10/12/2012, 17:52:20, Note,7
10/12/2012, 17:52:20, Note,5
10/12/2012, 17:52:21, Note,5
10/12/2012, 17:52:21, Note,6
10/12/2012, 17:52:21, Note,5
10/12/2012, 17:52:21, Note,7
10/12/2012, 17:52:21, Note,6
10/12/2012, 17:52:21, Note,7
10/12/2012, 17:52:21, Note,6
10/12/2012, 17:52:22, Note,5
10/12/2012, 17:52:22, Note,4
10/12/2012, 17:52:22, Note,6
10/12/2012, 17:52:22, Note,5
10/12/2012, 17:52:22, Note,1
10/12/2012, 17:52:22, Note,4
10/12/2012, 17:52:22, Note,1
10/12/2012, 17:52:22, Note,5
10/12/2012, 17:52:22, Note,1
10/12/2012, 17:52:22, Note,4
10/12/2012, 17:52:23, Note,4
10/12/2012, 17:52:23, Note,3
10/12/2012, 17:52:23, Note,4
10/12/2012, 17:52:23, Note,1
10/12/2012, 17:52:23, Note,3
10/12/2012, 17:52:23, Note,5
10/12/2012, 17:52:23, Note,6
10/12/2012, 17:52:24, Note,7
10/12/2012, 17:52:24, Note,1
10/12/2012, 17:52:24, Note,6
10/12/2012, 17:52:24, Note,8
10/12/2012, 17:52:24, Note,7
10/12/2012, 17:52:24, Note,8
10/12/2012, 17:52:24, Note,1
10/12/2012, 17:52:24, Note,5
10/12/2012, 17:52:24, Note,6
10/12/2012, 17:52:24, Note,7
10/12/2012, 17:52:24, Note,2
10/12/2012, 17:52:24, Note,1
10/12/2012, 17:52:24, Note,5
10/12/2012, 17:52:24, Note,7
10/12/2012, 17:52:24, Note,6
10/12/2012, 17:52:25, Note,7
10/12/2012, 17:52:25, Note,6
10/12/2012, 17:52:25, Note,6
10/12/2012, 17:52:25, Note,5
10/12/2012, 17:52:26, Note,6
10/12/2012, 17:52:26, Note,1
10/12/2012, 17:52:26, Note,2
10/12/2012, 17:52:26, Note,5
10/12/2012, 17:52:26, Note,4
10/12/2012, 17:52:26, Note,1
10/12/2012, 17:52:26, Note,2
10/12/2012, 17:52:26, Note,2
10/12/2012, 17:52:26, Note,3
10/12/2012, 17:52:26, Note,2
10/12/2012, 17:52:27, Note,1
10/12/2012, 17:52:27, Note,2
10/12/2012, 17:52:27, Note,1
10/12/2012, 17:52:27, Note,5
10/12/2012, 17:52:27, Note,4
10/12/2012, 17:52:27, Note,4
10/12/2012, 17:52:27, Note,6
10/12/2012, 17:52:27, Note,2
10/12/2012, 17:52:27, Note,5
10/12/2012, 17:52:27, Note,7
10/12/2012, 17:52:28, Note,6
10/12/2012, 17:52:28, Note,8
10/12/2012, 17:52:28, Note,7
10/12/2012, 17:52:28, Note,7
10/12/2012, 17:52:28, Note,5
10/12/2012, 17:52:28, Note,5
10/12/2012, 17:52:29, Note,6
10/12/2012, 17:52:29, Note,4
10/12/2012, 17:52:29, Note,5
10/12/2012, 17:52:30, Note,4
10/12/2012, 17:52:30, Note,3
10/12/2012, 17:52:30, Note,2
10/12/2012, 17:52:30, Note,1
10/12/2012, 17:52:30, Note,2
10/12/2012, 17:52:30, Note,4
10/12/2012, 17:52:30, Note,3
10/12/2012, 17:52:30, Note,3
10/12/2012, 17:52:31, Note,3
10/12/2012, 17:52:31, Note,4
10/12/2012, 17:52:31, Note,4
10/12/2012, 17:52:31, Note,2
10/12/2012, 17:52:31, Note,4
10/12/2012, 17:52:31, Note,4
10/12/2012, 17:52:31, Note,3
10/12/2012, 17:52:31, Note,2
10/12/2012, 17:52:31, Note,2
10/12/2012, 17:52:42, Screen Saver
10/12/2012, 17:52:53, Screen Saver
10/12/2012, 17:53:04, Screen Saver
10/12/2012, 17:53:04, Note,7
10/12/2012, 17:53:05, Note,6
10/12/2012, 17:53:05, Note,5
10/12/2012, 17:53:05, Note,4
10/12/2012, 17:53:05, Note,5
10/12/2012, 17:53:06, Note,5
10/12/2012, 17:53:06, Note,4
10/12/2012, 17:53:06, Note,5
10/12/2012, 17:53:06, Note,6
10/12/2012, 17:53:06, Note,5
10/12/2012, 17:53:06, Note,5
10/12/2012, 17:53:06, Note,6
10/12/2012, 17:53:06, Note,5
10/12/2012, 17:53:06, Note,4
10/12/2012, 17:53:06, Note,5
10/12/2012, 17:53:06, Note,6
10/12/2012, 17:53:07, Note,4
10/12/2012, 17:53:07, Note,3
10/12/2012, 17:53:07, Note,3
10/12/2012, 17:53:07, Note,3
10/12/2012, 17:53:07, Note,2
10/12/2012, 17:53:07, Note,2
10/12/2012, 17:53:07, Note,1
10/12/2012, 17:53:07, Note,2
10/12/2012, 17:53:07, Note,2
10/12/2012, 17:53:08, Note,2
10/12/2012, 17:53:08, Switching to instrument 2
10/12/2012, 17:53:08, Note,2
10/12/2012, 17:53:08, Note,1
10/12/2012, 17:53:08, Note,2
10/12/2012, 17:53:09, Note,3
10/12/2012, 17:53:09, Note,2
10/12/2012, 17:53:09, Note,2
10/12/2012, 17:53:10, Switching to instrument 3
10/12/2012, 17:53:10, Note,2
10/12/2012, 17:53:10, Note,2
10/12/2012, 17:53:11, Note,2
10/12/2012, 17:53:11, Note,2
10/12/2012, 17:53:11, Note,2
10/12/2012, 17:53:11, Note,2
10/12/2012, 17:53:11, Note,2
10/12/2012, 17:53:11, Switching to instrument 4
10/12/2012, 17:53:12, Note,2
10/12/2012, 17:53:12, Note,3
10/12/2012, 17:53:12, Note,3
10/12/2012, 17:53:13, Note,3
10/12/2012, 17:53:13, Note,2
10/12/2012, 17:53:13, Switching to noises
10/12/2012, 17:53:14, Note,2
10/12/2012, 17:53:14, Note,2
10/12/2012, 17:53:14, Note,1
10/12/2012, 17:53:14, Note,3
10/12/2012, 17:53:14, Note,4
10/12/2012, 17:53:14, Note,3
10/12/2012, 17:53:15, Note,5
10/12/2012, 17:53:15, Note,3
10/12/2012, 17:53:15, Note,4
10/12/2012, 17:53:15, Note,3
10/12/2012, 17:53:16, Note,4
10/12/2012, 17:53:16, Note,5
10/12/2012, 17:53:16, Note,4
10/12/2012, 17:53:16, Note,5
10/12/2012, 17:53:16, Note,3
10/12/2012, 17:53:16, Note,6
10/12/2012, 17:53:16, Note,6
10/12/2012, 17:53:16, Note,4
10/12/2012, 17:53:16, Note,5
10/12/2012, 17:53:17, Note,6
10/12/2012, 17:53:17, Note,4
10/12/2012, 17:53:17, Note,3
10/12/2012, 17:53:17, Note,4
10/12/2012, 17:53:17, Note,5
10/12/2012, 17:53:18, Note,5
10/12/2012, 17:53:18, Note,4
10/12/2012, 17:53:18, Note,5
10/12/2012, 17:53:18, Note,4
10/12/2012, 17:53:19, Note,4
10/12/2012, 17:53:19, Note,5
10/12/2012, 17:53:19, Note,4
10/12/2012, 17:53:19, Note,5
10/12/2012, 17:53:19, Note,4
10/12/2012, 17:53:19, Note,5
10/12/2012, 17:53:19, Note,3
10/12/2012, 17:53:20, Note,5
10/12/2012, 17:53:20, Note,3
10/12/2012, 17:53:20, Note,4
10/12/2012, 17:53:20, Note,6
10/12/2012, 17:53:20, Note,5
10/12/2012, 17:53:31, Screen Saver
10/12/2012, 17:53:40, Note,7
10/12/2012, 17:53:41, Note,5
10/12/2012, 17:53:41, Note,4
10/12/2012, 17:53:41, Note,5
10/12/2012, 17:53:41, Note,3
10/12/2012, 17:53:41, Note,3
10/12/2012, 17:53:41, Note,3
10/12/2012, 17:53:41, Note,6
10/12/2012, 17:53:41, Note,6
10/12/2012, 17:53:42, Note,5
10/12/2012, 17:53:42, Note,3
10/12/2012, 17:53:42, Note,2
10/12/2012, 17:53:42, Note,5
10/12/2012, 17:53:42, Note,5
10/12/2012, 17:53:42, Note,2
10/12/2012, 17:53:42, Note,6
10/12/2012, 17:53:42, Note,3
10/12/2012, 17:53:42, Note,7
10/12/2012, 17:53:43, Note,6
10/12/2012, 17:53:43, Note,5
10/12/2012, 17:53:43, Note,7
10/12/2012, 17:53:43, Note,4
10/12/2012, 17:53:43, Note,3
10/12/2012, 17:53:43, Note,7
10/12/2012, 17:53:43, Note,3
10/12/2012, 17:53:43, Note,6
10/12/2012, 17:53:43, Note,5
10/12/2012, 17:53:43, Note,4
10/12/2012, 17:53:43, Note,2
10/12/2012, 17:53:43, Note,1
10/12/2012, 17:53:43, Note,1
10/12/2012, 17:53:44, Note,1
10/12/2012, 17:53:44, Note,2
10/12/2012, 17:53:44, Note,3
10/12/2012, 17:53:44, Note,2
10/12/2012, 17:53:44, Note,4
10/12/2012, 17:53:44, Note,6
10/12/2012, 17:53:44, Note,4
10/12/2012, 17:53:44, Note,7
10/12/2012, 17:53:44, Note,5
10/12/2012, 17:53:45, Note,5
10/12/2012, 17:53:45, Note,4
10/12/2012, 17:53:45, Note,6
10/12/2012, 17:53:45, Note,3
10/12/2012, 17:53:45, Note,5
10/12/2012, 17:53:45, Note,4
10/12/2012, 17:53:45, Note,2
10/12/2012, 17:53:45, Note,3
10/12/2012, 17:53:46, Note,3
10/12/2012, 17:53:46, Note,4
10/12/2012, 17:53:46, Note,3
10/12/2012, 17:53:46, Note,5
10/12/2012, 17:53:46, Note,4
10/12/2012, 17:53:46, Note,6
10/12/2012, 17:53:47, Note,2
10/12/2012, 17:53:47, Note,2
10/12/2012, 17:53:47, Note,2
10/12/2012, 17:53:48, Switching to instrument 0
10/12/2012, 17:53:49, Note,1
10/12/2012, 17:53:49, Note,2
10/12/2012, 17:53:49, Note,3
10/12/2012, 17:53:49, Note,2
10/12/2012, 17:53:49, Note,4
10/12/2012, 17:53:49, Note,3
10/12/2012, 17:53:49, Note,5
10/12/2012, 17:53:50, Note,5
10/12/2012, 17:53:50, Note,3
10/12/2012, 17:53:50, Note,6
10/12/2012, 17:53:50, Note,5
10/12/2012, 17:53:50, Note,4
10/12/2012, 17:53:50, Note,2
10/12/2012, 17:53:50, Note,4
10/12/2012, 17:53:50, Switching to instrument 1
10/12/2012, 17:53:50, Note,2
10/12/2012, 17:53:50, Note,4
10/12/2012, 17:53:50, Note,3
10/12/2012, 17:53:51, Note,4
10/12/2012, 17:53:51, Note,2
10/12/2012, 17:53:51, Note,4
10/12/2012, 17:53:51, Switching to instrument 2
10/12/2012, 17:53:51, Note,3
10/12/2012, 17:53:51, Note,4
10/12/2012, 17:53:51, Note,1
10/12/2012, 17:53:51, Note,4
10/12/2012, 17:53:51, Note,2
10/12/2012, 17:53:52, Switching to instrument 3
10/12/2012, 17:53:52, Note,3
10/12/2012, 17:53:52, Note,4
10/12/2012, 17:53:52, Note,2
10/12/2012, 17:53:52, Note,4
10/12/2012, 17:53:52, Switching to instrument 4
10/12/2012, 17:53:52, Note,1
10/12/2012, 17:53:52, Note,4
10/12/2012, 17:53:52, Note,3
10/12/2012, 17:53:52, Switching to noises
10/12/2012, 17:53:52, Note,3
10/12/2012, 17:53:52, Note,2
10/12/2012, 17:53:52, Note,1
10/12/2012, 17:53:52, Note,2
10/12/2012, 17:53:52, Note,3
10/12/2012, 17:53:52, Note,2
10/12/2012, 17:53:52, Note,4
10/12/2012, 17:53:53, Note,3
10/12/2012, 17:53:53, Switching to instrument 0
10/12/2012, 17:53:53, Note,4
10/12/2012, 17:53:53, Note,1
10/12/2012, 17:53:53, Note,2
10/12/2012, 17:53:54, Switching to instrument 1
10/12/2012, 17:53:54, Note,3
10/12/2012, 17:53:54, Note,2
10/12/2012, 17:53:54, Note,4
10/12/2012, 17:53:54, Note,2
10/12/2012, 17:53:54, Note,1
10/12/2012, 17:53:54, Note,4
10/12/2012, 17:53:54, Switching to instrument 2
10/12/2012, 17:53:54, Note,4
10/12/2012, 17:53:54, Note,3
10/12/2012, 17:53:54, Note,2
10/12/2012, 17:53:54, Note,1
10/12/2012, 17:53:54, Switching to instrument 3
10/12/2012, 17:53:54, Note,3
10/12/2012, 17:53:54, Note,2
10/12/2012, 17:53:54, Switching to instrument 4
10/12/2012, 17:53:56, Switching to noises
10/12/2012, 17:53:56, Note,2
10/12/2012, 17:53:57, Switching to instrument 0
10/12/2012, 17:53:57, Note,1
10/12/2012, 17:53:57, Note,2
10/12/2012, 17:53:57, Note,2
10/12/2012, 17:53:57, Note,3
10/12/2012, 17:53:57, Note,1
10/12/2012, 17:53:57, Note,4
10/12/2012, 17:53:57, Note,2
10/12/2012, 17:53:57, Note,4
10/12/2012, 17:53:58, Note,2
10/12/2012, 17:53:58, Note,1
10/12/2012, 17:53:58, Note,7
10/12/2012, 17:53:58, Note,7
10/12/2012, 17:53:58, Note,3
10/12/2012, 17:53:58, Note,1
10/12/2012, 17:53:58, Note,2
10/12/2012, 17:53:58, Note,5
10/12/2012, 17:53:58, Note,7
10/12/2012, 17:53:58, Note,3
10/12/2012, 17:53:58, Note,1
10/12/2012, 17:53:58, Note,6
10/12/2012, 17:53:58, Note,8
10/12/2012, 17:53:58, Note,1
10/12/2012, 17:53:58, Note,3
10/12/2012, 17:53:58, Note,7
10/12/2012, 17:53:58, Note,6
10/12/2012, 17:53:58, Note,8
10/12/2012, 17:53:58, Note,4
10/12/2012, 17:53:58, Note,6
10/12/2012, 17:53:58, Note,8
10/12/2012, 17:53:58, Note,2
10/12/2012, 17:53:59, Note,4
10/12/2012, 17:53:59, Note,2
10/12/2012, 17:53:59, Note,7
10/12/2012, 17:53:59, Note,4
10/12/2012, 17:53:59, Note,2
10/12/2012, 17:53:59, Note,3
10/12/2012, 17:53:59, Note,6
10/12/2012, 17:53:59, Note,4
10/12/2012, 17:53:59, Note,6
10/12/2012, 17:53:59, Note,5
10/12/2012, 17:53:59, Note,4
10/12/2012, 17:53:59, Note,5
10/12/2012, 17:53:59, Note,5
10/12/2012, 17:53:59, Note,3
10/12/2012, 17:53:59, Note,4
10/12/2012, 17:53:59, Note,1
10/12/2012, 17:53:59, Note,2
10/12/2012, 17:53:59, Note,1
10/12/2012, 17:54:00, Note,1
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Note,1
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Note,4
10/12/2012, 17:54:00, Note,5
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Note,5
10/12/2012, 17:54:00, Note,4
10/12/2012, 17:54:00, Note,6
10/12/2012, 17:54:00, Switching to instrument 1
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Note,5
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Switching to instrument 2
10/12/2012, 17:54:00, Note,1
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Note,4
10/12/2012, 17:54:00, Switching to instrument 3
10/12/2012, 17:54:00, Note,4
10/12/2012, 17:54:00, Note,5
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Switching to instrument 4
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Switching to noises
10/12/2012, 17:54:00, Note,1
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Note,4
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Switching to instrument 0
10/12/2012, 17:54:00, Note,2
10/12/2012, 17:54:00, Note,3
10/12/2012, 17:54:00, Note,4
10/12/2012, 17:54:03, Note,1
10/12/2012, 17:54:03, Note,2
10/12/2012, 17:54:03, Note,3
10/12/2012, 17:54:03, Note,4
10/12/2012, 17:54:03, Note,2
10/12/2012, 17:54:03, Note,3
10/12/2012, 17:54:03, Switching to instrument 1
10/12/2012, 17:54:03, Note,4
10/12/2012, 17:54:03, Note,3
10/12/2012, 17:54:03, Note,2
10/12/2012, 17:54:03, Note,1
10/12/2012, 17:54:03, Note,4
10/12/2012, 17:54:04, Note,4
10/12/2012, 17:54:04, Note,2
10/12/2012, 17:54:04, Switching to instrument 2
10/12/2012, 17:54:04, Note,5
10/12/2012, 17:54:04, Note,3
10/12/2012, 17:54:04, Note,4
10/12/2012, 17:54:04, Note,5
10/12/2012, 17:54:05, Switching to instrument 3
10/12/2012, 17:54:05, Note,2
10/12/2012, 17:54:05, Switching to instrument 4
10/12/2012, 17:54:08, Note,4
10/12/2012, 17:54:08, Note,3
10/12/2012, 17:54:08, Note,5
10/12/2012, 17:54:09, Note,5
10/12/2012, 17:54:09, Note,2
10/12/2012, 17:54:09, Note,4
10/12/2012, 17:54:09, Note,2
10/12/2012, 17:54:09, Note,4
10/12/2012, 17:54:09, Note,2
10/12/2012, 17:54:09, Note,4
10/12/2012, 17:54:09, Note,3
10/12/2012, 17:54:09, Note,3
10/12/2012, 17:54:09, Note,1
10/12/2012, 17:54:10, Note,2
10/12/2012, 17:54:10, Switching to noises
10/12/2012, 17:54:10, Note,2
10/12/2012, 17:54:10, Note,2
10/12/2012, 17:54:11, Note,2
10/12/2012, 17:54:11, Note,2
10/12/2012, 17:54:11, Note,1
10/12/2012, 17:54:11, Note,2
10/12/2012, 17:54:12, Note,3
10/12/2012, 17:54:12, Note,4
10/12/2012, 17:54:12, Note,2
10/12/2012, 17:54:12, Note,5
10/12/2012, 17:54:12, Note,2
10/12/2012, 17:54:12, Note,6
10/12/2012, 17:54:12, Note,6
10/12/2012, 17:54:12, Note,3
10/12/2012, 17:54:12, Note,5
10/12/2012, 17:54:12, Note,7
10/12/2012, 17:54:12, Note,4
10/12/2012, 17:54:12, Note,4
10/12/2012, 17:54:12, Note,6
10/12/2012, 17:54:13, Note,5
10/12/2012, 17:54:13, Note,3
10/12/2012, 17:54:13, Note,2
10/12/2012, 17:54:13, Note,3
10/12/2012, 17:54:13, Note,5
10/12/2012, 17:54:13, Note,3
10/12/2012, 17:54:13, Note,6
10/12/2012, 17:54:13, Note,2
10/12/2012, 17:54:13, Note,3
10/12/2012, 17:54:13, Note,5
10/12/2012, 17:54:13, Note,3
10/12/2012, 17:54:13, Note,2
10/12/2012, 17:54:13, Note,5
10/12/2012, 17:54:14, Note,2
10/12/2012, 17:54:14, Note,5
10/12/2012, 17:54:14, Note,1
10/12/2012, 17:54:14, Note,5
10/12/2012, 17:54:14, Note,3
10/12/2012, 17:54:14, Note,6
10/12/2012, 17:54:14, Note,2
10/12/2012, 17:54:14, Note,2
10/12/2012, 17:54:14, Note,5
10/12/2012, 17:54:14, Note,3
10/12/2012, 17:54:14, Note,4
10/12/2012, 17:54:14, Note,5
10/12/2012, 17:54:15, Note,5
10/12/2012, 17:54:15, Note,4
10/12/2012, 17:54:15, Note,3
10/12/2012, 17:54:15, Note,3
10/12/2012, 17:54:15, Note,5
10/12/2012, 17:54:15, Note,6
10/12/2012, 17:54:15, Note,3
10/12/2012, 17:54:15, Note,3
10/12/2012, 17:54:15, Note,5
10/12/2012, 17:54:15, Note,3
10/12/2012, 17:54:15, Note,4
10/12/2012, 17:54:16, Note,3
10/12/2012, 17:54:16, Note,4
10/12/2012, 17:54:16, Note,3
10/12/2012, 17:54:16, Note,3
10/12/2012, 17:54:16, Note,2
10/12/2012, 17:54:16, Note,4
10/12/2012, 17:54:16, Note,3
10/12/2012, 17:54:16, Note,4
10/12/2012, 17:54:16, Note,4
10/12/2012, 17:54:16, Note,6
10/12/2012, 17:54:16, Note,6
10/12/2012, 17:54:16, Note,3
10/12/2012, 17:54:17, Note,3
10/12/2012, 17:54:17, Note,2
10/12/2012, 17:54:17, Note,4
10/12/2012, 17:54:17, Note,2
10/12/2012, 17:54:17, Note,5
10/12/2012, 17:54:17, Note,3
10/12/2012, 17:54:17, Note,6
10/12/2012, 17:54:17, Note,3
10/12/2012, 17:54:17, Note,2
10/12/2012, 17:54:17, Note,2
10/12/2012, 17:54:17, Note,1
10/12/2012, 17:54:18, Note,1
10/12/2012, 17:54:18, Note,2
10/12/2012, 17:54:18, Note,3
10/12/2012, 17:54:18, Note,4
10/12/2012, 17:54:18, Note,6
10/12/2012, 17:54:18, Note,3
10/12/2012, 17:54:18, Note,4
10/12/2012, 17:54:18, Note,6
10/12/2012, 17:54:18, Note,7
10/12/2012, 17:54:19, Note,4
10/12/2012, 17:54:19, Note,5
10/12/2012, 17:54:19, Note,7
10/12/2012, 17:54:19, Note,5
10/12/2012, 17:54:19, Note,7
10/12/2012, 17:54:19, Note,8
10/12/2012, 17:54:19, Note,5
10/12/2012, 17:54:19, Note,5
10/12/2012, 17:54:19, Note,7
10/12/2012, 17:54:20, Note,7
10/12/2012, 17:54:20, Note,6
10/12/2012, 17:54:20, Note,5
10/12/2012, 17:54:20, Note,4
10/12/2012, 17:54:20, Note,5
10/12/2012, 17:54:20, Note,6
10/12/2012, 17:54:20, Note,2
10/12/2012, 17:54:20, Note,5
10/12/2012, 17:54:20, Note,4
10/12/2012, 17:54:20, Note,3
10/12/2012, 17:54:20, Note,4
10/12/2012, 17:54:20, Note,2
10/12/2012, 17:54:21, Note,1
10/12/2012, 17:54:21, Note,2
10/12/2012, 17:54:21, Note,3
10/12/2012, 17:54:21, Note,6
10/12/2012, 17:54:21, Note,4
10/12/2012, 17:54:21, Note,7
10/12/2012, 17:54:21, Note,7
10/12/2012, 17:54:22, Note,8
10/12/2012, 17:54:22, Note,8
10/12/2012, 17:54:22, Note,7
10/12/2012, 17:54:22, Note,6
10/12/2012, 17:54:22, Note,4
10/12/2012, 17:54:23, Note,5
10/12/2012, 17:54:23, Note,3
10/12/2012, 17:54:23, Note,6
10/12/2012, 17:54:23, Note,2
10/12/2012, 17:54:23, Note,3
10/12/2012, 17:54:23, Note,5
10/12/2012, 17:54:23, Note,4
10/12/2012, 17:54:23, Note,6
10/12/2012, 17:54:23, Note,7
10/12/2012, 17:54:23, Note,8
10/12/2012, 17:54:23, Note,4
10/12/2012, 17:54:23, Note,7
10/12/2012, 17:54:24, Note,6
10/12/2012, 17:54:24, Note,4
10/12/2012, 17:54:24, Note,7
10/12/2012, 17:54:24, Note,3
10/12/2012, 17:54:24, Note,7
10/12/2012, 17:54:24, Note,6
10/12/2012, 17:54:24, Note,5
10/12/2012, 17:54:24, Note,6
10/12/2012, 17:54:24, Note,2
10/12/2012, 17:54:24, Note,6
10/12/2012, 17:54:24, Note,2
10/12/2012, 17:54:24, Note,4
10/12/2012, 17:54:24, Note,3
10/12/2012, 17:54:24, Note,1
10/12/2012, 17:54:24, Note,4
10/12/2012, 17:54:25, Note,3
10/12/2012, 17:54:25, Note,2
10/12/2012, 17:54:25, Note,3
10/12/2012, 17:54:25, Note,4
10/12/2012, 17:54:25, Note,4
10/12/2012, 17:54:25, Note,3
10/12/2012, 17:54:25, Note,5
10/12/2012, 17:54:25, Note,6
10/12/2012, 17:54:26, Note,3
10/12/2012, 17:54:26, Note,5
10/12/2012, 17:54:26, Note,3
10/12/2012, 17:54:26, Note,6
10/12/2012, 17:54:26, Note,7
10/12/2012, 17:54:26, Note,3
10/12/2012, 17:54:26, Note,6
10/12/2012, 17:54:26, Note,3
10/12/2012, 17:54:26, Note,4
10/12/2012, 17:54:26, Note,2
10/12/2012, 17:54:26, Note,4
